dateshift,shift_id,hour,shovel,material,production,productivity,runtime,loadingtime,spottingtime,dumpingtime,hangingtime,queuingtime_exc,queuingtime_dump,speed,payload,speedempty,speedloaded,cycletime,match_factor,countload
2020-08-30,1,6,EX0140,OB,731,817.520969245107,53.65,113.388888888889,21.1666666666667,73,48,50,5,22,87,19,21,995,0.5,17
2020-08-30,1,6,EX0141,OB,645,789.527371642298,49.0166666666667,135.266666666667,18.3333333333333,60,48,98,11,14,107,14,14,947,1,15
2020-08-30,1,6,EX0157,OB,903,903.250903028619,59.9833333333333,111.047619047619,21.3809523809524,71,27,42,5,19,89,21,18,638,1,21
2020-08-30,1,6,EX0158,OB,516,595.575504969542,51.9833333333333,141.230769230769,23.6923076923077,64,54,76,2,21,85,22,21,899,0.5,12
2020-08-30,1,6,EX0176,COAL,760,793.733681462141,57.45,343.888888888889,25.3333333333333,71,8,113,1,19,91,19,20,1136,0.5,8
2020-08-30,1,6,EX0192,OB,774,788.231966053748,58.9166666666667,140.117647058824,25.4117647058824,71,34,34,5,20,103,21,19,823,1,18
2020-08-30,1,6,EX0200,COAL,380,380.10558488469,59.9833333333333,392.6,28.2,85,55,124,2,11,96,11,15,1968,0.5,4
2020-08-30,1,6,EX0201,OB,817,828.974069898534,59.1333333333333,155.611111111111,22.5555555555556,70,21,149,7,14,97,14,14,891,1,19
2020-08-30,1,6,EX0215,OB,1075,1075.29869408169,59.9833333333333,106.125,14.375,66,19,52,6,21,102,20,24,486,1,25
2020-08-30,1,6,EX0216,OB,903,956.39894086496,56.65,117.9,17.25,69,13,64,6,21,103,23,20,684,0.5,21
2020-08-30,2,7,EX0140,OB,774,774.215059738816,59.9833333333333,123.222222222222,30.8333333333333,75,13,99,4,20,88,24,18,995,1,18
2020-08-30,2,7,EX0141,OB,731,941.875447387258,46.5666666666667,109,15,68,55,40,2,15,95,17,15,716,1,17
2020-08-30,2,7,EX0157,OB,860,860.238955265351,59.9833333333333,110.75,20.15,70,38,30,9,21,91,25,19,619,1,20
2020-08-30,2,7,EX0158,OB,688,688.191164212281,59.9833333333333,147.133333333333,20.2,72,22,79,7,23,87,25,21,941,0.5,16
2020-08-30,2,7,EX0176,COAL,855,855.237565990553,59.9833333333333,290.111111111111,34.8888888888889,73,29,19,1,23,90,27,20,1076,0.5,9
2020-08-30,2,7,EX0192,OB,774,804.620271440947,57.7166666666667,144.722222222222,29.5555555555556,68,1,146,2,21,99,22,21,836,0.5,18
2020-08-30,2,7,EX0200,COAL,665,665.184773548208,59.9833333333333,354,17.8571428571429,73,161,70,0,16,94,18,15,1291,0.5,7
2020-08-30,2,7,EX0201,OB,516,708.196721311475,43.7166666666667,150.272727272727,29.5454545454545,61,69,23,2,14,92,15,15,962,1,12
2020-08-30,2,7,EX0215,OB,989,989.274798555154,59.9833333333333,108.833333333333,16.0833333333333,67,34,20,8,21,100,21,23,465,0.5,23
2020-08-30,2,7,EX0216,OB,774,774.215059738816,59.9833333333333,134.666666666667,16.5,73,52,36,6,25,108,27,24,641,0.5,18
2020-08-30,3,8,EX0140,OB,903,903.250903028619,59.9833333333333,103.157894736842,27.4736842105263,62,14,68,2,21,83,22,20,834,1,21
2020-08-30,3,8,EX0141,OB,473,1261.33333333333,22.5,113.777777777778,20.8888888888889,76,3,52,3,18,90,19,15,669,0.5,11
2020-08-30,3,8,EX0157,OB,903,903.250903028619,59.9833333333333,120.428571428571,16.2380952380952,67,27,28,4,20,91,22,19,622,1,21
2020-08-30,3,8,EX0158,OB,473,579.380741748894,48.9833333333333,144.909090909091,25.5454545454545,66,117,8,2,22,88,24,22,844,0.5,11
2020-08-30,3,8,EX0176,COAL,855,855.237565990553,59.9833333333333,331.777777777778,28,69,17,81,1,23,91,26,21,1117,0.5,9
2020-08-30,3,8,EX0192,OB,774,774.215059738816,59.9833333333333,140,22.2222222222222,73,33,78,4,19,101,20,19,844,0.5,18
2020-08-30,3,8,EX0200,COAL,665,665.184773548208,59.9833333333333,384.25,23,78,44,95,3,17,97,19,17,1277,0.5,7
2020-08-30,3,8,EX0201,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,3,8,EX0215,OB,946,946.262850791887,59.9833333333333,108.333333333333,17.4761904761905,69,30,25,6,20,99,20,21,511,1,22
2020-08-30,3,8,EX0216,OB,688,688.191164212281,59.9833333333333,137.111111111111,15.0555555555556,69,22,63,4,24,105,27,22,666,0.5,16
2020-08-30,4,9,EX0140,OB,860,860.238955265351,59.9833333333333,112.333333333333,17.7222222222222,53,47,73,2,22,87,22,22,962,1,20
2020-08-30,4,9,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,4,9,EX0157,OB,860,860.238955265351,59.9833333333333,116.65,21.15,62,16,91,3,18,90,22,17,684,1,20
2020-08-30,4,9,EX0158,OB,387,675.327193407659,34.3833333333333,174,27.75,78,21,61,3,22,90,24,21,979,1,9
2020-08-30,4,9,EX0176,COAL,665,748.827025336253,53.2833333333333,351.142857142857,28.5714285714286,65,0,151,1,22,92,25,20,1278,0.5,7
2020-08-30,4,9,EX0192,OB,688,731.914893617021,56.4,148.866666666667,30.6666666666667,74,21,81,5,20,104,22,19,886,0.5,16
2020-08-30,4,9,EX0200,COAL,855,855.237565990553,59.9833333333333,334.625,19.5,81,87,62,1,17,93,16,17,1256,0.5,9
2020-08-30,4,9,EX0201,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,4,9,EX0215,OB,817,839.144079885877,58.4166666666667,111.263157894737,16.2105263157895,76,46,68,5,19,102,18,22,566,1,19
2020-08-30,4,9,EX0216,OB,688,688.191164212281,59.9833333333333,174.066666666667,16.0666666666667,76,24,124,5,21,98,23,20,794,0.5,16
2020-08-30,5,10,EX0140,OB,989,989.274798555154,59.9833333333333,105.909090909091,22.9545454545455,68,26,89,2,20,79,22,19,841,0.5,23
2020-08-30,5,10,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,5,10,EX0157,OB,817,817.227007502084,59.9833333333333,115.888888888889,20.0555555555556,71,44,90,9,18,88,19,18,681,1,19
2020-08-30,5,10,EX0158,OB,774,932.842316705725,49.7833333333333,108.470588235294,24.7058823529412,45,17,61,3,20,78,24,17,767,0.5,18
2020-08-30,5,10,EX0176,COAL,760,760.21116976938,59.9833333333333,348.5,36,62,31,122,1,22,92,24,20,1191,0.5,8
2020-08-30,5,10,EX0192,OB,430,495.201535508637,52.1,162.2,21.8,61,86,44,1,14,97,14,16,1002,0.5,10
2020-08-30,5,10,EX0200,COAL,665,665.184773548208,59.9833333333333,363.714285714286,33.1428571428571,88,37,101,1,19,91,21,17,1314,0.5,7
2020-08-30,5,10,EX0201,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,5,10,EX0215,OB,860,860.238955265351,59.9833333333333,112.25,21.2,75,32,67,8,21,104,22,20,589,1,20
2020-08-30,5,10,EX0216,OB,817,980.726908969657,49.9833333333333,146.052631578947,19.4210526315789,76,7,66,5,22,104,26,20,681,0.5,19
2020-08-30,6,11,EX0140,OB,774,833.752244165171,55.7,98.1052631578947,25.0526315789474,73,41,43,5,19,81,19,20,886,0.5,18
2020-08-30,6,11,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,6,11,EX0157,OB,817,920.275344180225,53.2666666666667,120.684210526316,17.4210526315789,64,18,94,11,18,89,18,19,548,1,19
2020-08-30,6,11,EX0158,OB,946,1024.85705687632,55.3833333333333,109.833333333333,14.8888888888889,64,40,83,4,17,81,19,16,736,0.5,22
2020-08-30,6,11,EX0176,COAL,855,913.895486935867,56.1333333333333,413.714285714286,28.2857142857143,86,0,279,1,25,91,28,23,1468,1,9
2020-08-30,6,11,EX0192,OB,645,645.179216449014,59.9833333333333,153.117647058824,23.5882352941176,75,5,75,2,18,102,20,17,948,0.5,15
2020-08-30,6,11,EX0200,COAL,760,760.21116976938,59.9833333333333,360.75,30.375,74,8,81,1,19,92,21,17,1246,0.5,8
2020-08-30,6,11,EX0201,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,6,11,EX0215,OB,903,951.639344262295,56.9333333333333,104.590909090909,25,63,23,66,6,21,100,21,22,536,1,21
2020-08-30,6,11,EX0216,OB,860,860.238955265351,59.9833333333333,143.473684210526,19.1578947368421,77,23,79,8,23,104,27,21,702,0.5,20
2020-08-30,7,12,EX0140,OB,688,830.583501006036,49.7,105.6,17.6666666666667,65,36,76,4,24,76,22,23,893,0.5,16
2020-08-30,7,12,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,7,12,EX0157,OB,817,817.227007502084,59.9833333333333,129.421052631579,17.8947368421053,62,14,55,3,18,90,19,18,479,1,19
2020-08-30,7,12,EX0158,OB,774,956.868131868132,48.5333333333333,112.6875,17.25,54,24,80,2,18,82,20,16,738,0.5,18
2020-08-30,7,12,EX0176,COAL,380,472.538860103627,48.25,420,25.25,50,125,348,3,17,88,19,16,1485,0.5,4
2020-08-30,7,12,EX0192,OB,602,628.538283062645,57.4666666666667,158.461538461538,20.3846153846154,71,54,35,1,20,103,23,18,898,0.5,14
2020-08-30,7,12,EX0200,COAL,475,653.41994650363,43.6166666666667,352.2,18.4,62,80,89,1,18,92,19,18,1170,0.5,5
2020-08-30,7,12,EX0201,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,7,12,EX0215,OB,860,991.35446685879,52.05,107.277777777778,20.1111111111111,68,31,87,6,21,102,21,21,571,1,20
2020-08-30,7,12,EX0216,OB,645,889.655172413793,43.5,128.692307692308,13.7692307692308,63,68,113,3,17,101,20,19,845,0.5,15
2020-08-30,8,13,EX0140,OB,817,817.227007502084,59.9833333333333,100.7,21.5,72,43,43,4,20,82,19,22,892,0.5,19
2020-08-30,8,13,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,8,13,EX0157,OB,473,664.896524795002,42.6833333333333,115.636363636364,20.8181818181818,63,114,45,11,16,92,17,17,452,1,11
2020-08-30,8,13,EX0158,OB,946,946.262850791887,59.9833333333333,102.95652173913,21.0434782608696,60,19,59,2,16,84,19,14,741,0.5,22
2020-08-30,8,13,EX0176,COAL,380,556.323708824725,40.9833333333333,412,32,64,121,153,2,12,87,10,22,2033,0.5,4
2020-08-30,8,13,EX0192,OB,731,731.203111975549,59.9833333333333,159.5,13.75,75,38,64,2,20,102,22,18,855,0.5,17
2020-08-30,8,13,EX0200,COAL,665,784.403669724771,50.8666666666667,292.571428571429,16,70,211,99,1,16,92,14,16,1109,0.5,7
2020-08-30,8,13,EX0201,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,8,13,EX0215,OB,817,872.500741619697,56.1833333333333,107,24.55,69,28,50,4,18,101,17,20,568,1,19
2020-08-30,8,13,EX0216,OB,688,688.191164212281,59.9833333333333,153.5,15.5625,69,32,46,4,22,104,27,18,739,0.5,16
2020-08-30,9,14,EX0140,OB,860,860.238955265351,59.9833333333333,100.894736842105,29.1052631578947,64,60,91,2,23,89,25,21,884,0.5,20
2020-08-30,9,14,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,9,14,EX0157,OB,860,860.238955265351,59.9833333333333,120.8,18.95,69,30,54,6,17,92,17,16,534,1,20
2020-08-30,9,14,EX0158,OB,946,946.262850791887,59.9833333333333,96.8181818181818,13.5909090909091,47,37,73,1,15,88,16,13,812,0.5,22
2020-08-30,9,14,EX0176,COAL,475,475.131981105863,59.9833333333333,385.333333333333,31.8333333333333,56,34,190,8,19,87,20,21,1529,0.5,5
2020-08-30,9,14,EX0192,OB,559,626.330532212885,53.55,156.307692307692,19.6923076923077,71,54,43,1,18,103,18,19,805,0.5,13
2020-08-30,9,14,EX0200,COAL,570,570.158377327035,59.9833333333333,312.714285714286,20.7142857142857,56,190,105,2,14,93,17,13,1283,0.5,6
2020-08-30,9,14,EX0201,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,9,14,EX0215,OB,903,903.250903028619,59.9833333333333,109.809523809524,17.2380952380952,62,39,50,4,18,103,18,17,584,1,21
2020-08-30,9,14,EX0216,OB,817,817.227007502084,59.9833333333333,142.157894736842,17.5263157894737,76,21,100,6,21,103,24,19,719,0.5,19
2020-08-30,10,15,EX0140,OB,688,833.65870077415,49.5166666666667,116.2,19.8666666666667,57,19,60,2,19,86,18,22,973,0.5,16
2020-08-30,10,15,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,10,15,EX0157,OB,645,801.795580110497,48.2666666666667,109.6875,15.5,90,73,59,28,24,91,21,23,513,1,15
2020-08-30,10,15,EX0158,OB,860,920.059435364042,56.0833333333333,105.578947368421,21.3684210526316,63,31,96,2,16,86,16,14,808,0.5,20
2020-08-30,10,15,EX0176,COAL,760,760.21116976938,59.9833333333333,380.571428571429,23.7142857142857,85,49,95,4,22,86,21,22,1098,0.5,8
2020-08-30,10,15,EX0192,OB,559,700.940438871473,47.85,146.076923076923,22,72,34,105,1,20,96,20,20,816,0.5,13
2020-08-30,10,15,EX0200,COAL,475,609.625668449198,46.75,317.4,33.8,69,146,21,1,25,100,24,16,1354,0.5,5
2020-08-30,10,15,EX0201,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,10,15,EX0215,OB,688,809.676364825106,50.9833333333333,108.235294117647,20.7647058823529,61,60,58,7,21,107,22,20,642,1,16
2020-08-30,10,15,EX0216,OB,516,731.914893617021,42.3,125.666666666667,13.0833333333333,70,104,83,4,20,107,25,19,851,0.5,12
2020-08-30,11,16,EX0140,OB,774,774.215059738816,59.9833333333333,113.52380952381,14.8095238095238,64,10,84,3,22,84,24,24,809,0.5,18
2020-08-30,11,16,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,11,16,EX0157,OB,817,817.227007502084,59.9833333333333,110,17.4736842105263,70,81,54,6,13,96,13,15,679,1,19
2020-08-30,11,16,EX0158,OB,946,946.262850791887,59.9833333333333,101.521739130435,22.2608695652174,49,18,81,1,17,83,20,15,725,0.5,22
2020-08-30,11,16,EX0176,COAL,570,570.158377327035,59.9833333333333,382,34.1428571428571,83,9,125,2,25,87,26,21,1224,1,6
2020-08-30,11,16,EX0192,OB,688,691.843575418994,59.6666666666667,148.8125,19.875,87,42,198,8,20,100,19,22,777,0.5,16
2020-08-30,11,16,EX0200,COAL,570,613.819922225546,55.7166666666667,378.666666666667,27.5,59,1,207,1,19,91,25,16,1453,0.5,6
2020-08-30,11,16,EX0201,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,11,16,EX0215,OB,946,946.262850791887,59.9833333333333,104.090909090909,15.9545454545455,72,29,32,8,18,107,18,19,605,1,22
2020-08-30,11,16,EX0216,OB,817,832.965165675446,58.85,123.666666666667,13.9444444444444,62,68,41,4,19,111,23,16,668,0.5,19
2020-08-30,12,17,EX0140,OB,688,688.191164212281,59.9833333333333,108.571428571429,20.4285714285714,57,75,92,5,21,76,25,18,1036,0.5,16
2020-08-30,12,17,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,12,17,EX0157,OB,602,602.167268685746,59.9833333333333,108.066666666667,21.2666666666667,58,109,76,2,11,99,10,16,875,0.5,14
2020-08-30,12,17,EX0158,OB,731,787.668362765639,55.6833333333333,105.352941176471,35.4705882352941,72,28,70,32,15,82,17,17,889,0.5,17
2020-08-30,12,17,EX0176,COAL,475,536.554753686853,53.1166666666667,299,23.5,44,141,67,2,20,84,16,20,954,0.5,5
2020-08-30,12,17,EX0192,OB,473,629.03583302549,45.1166666666667,140.909090909091,29.1818181818182,88,82,113,15,16,95,16,20,823,0.5,11
2020-08-30,12,17,EX0200,COAL,665,839.116719242902,47.55,342.666666666667,31.8333333333333,62,103,123,1,15,96,15,15,1287,0.5,7
2020-08-30,12,17,EX0201,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,12,17,EX0215,OB,731,853.584171261758,51.3833333333333,100.533333333333,15.5333333333333,71,74,78,8,15,106,18,16,652,0.5,17
2020-08-30,12,17,EX0216,OB,688,769.90985390115,53.6166666666667,115.4375,22.5,82,81,62,5,19,112,24,16,766,0.5,16
2020-08-30,13,18,EX0140,OB,559,734.184604159066,45.6833333333333,121.928571428571,20.1428571428571,101,21,259,34,19,81,18,24,1105,0.5,13
2020-08-30,13,18,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,13,18,EX0157,OB,903,903.250903028619,59.9833333333333,120.368421052632,19.6842105263158,68,27,87,5,16,96,19,16,712,0.5,21
2020-08-30,13,18,EX0158,OB,860,1053.0612244898,49,116.842105263158,17.8421052631579,62,8,80,7,18,96,22,16,768,0.5,20
2020-08-30,13,18,EX0176,COAL,760,760.21116976938,59.9833333333333,313.666666666667,21.1111111111111,70,55,66,6,15,96,12,17,1027,0.5,8
2020-08-30,13,18,EX0192,OB,774,774.215059738816,59.9833333333333,144.058823529412,24.8823529411765,82,43,154,15,20,98,19,23,700,0.5,18
2020-08-30,13,18,EX0200,COAL,475,475.131981105863,59.9833333333333,334.714285714286,28,77,12,154,6,31,84,32,15,1629,0.5,5
2020-08-30,13,18,EX0201,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,13,18,EX0215,OB,731,775.139911634757,56.5833333333333,100.166666666667,17.5555555555556,73,32,58,8,21,106,21,22,621,1,17
2020-08-30,13,18,EX0216,OB,645,687.592537755404,56.2833333333333,139.625,14.1875,64,35,55,6,21,108,23,19,720,0.5,15
2020-08-30,14,19,EX0140,OB,516,696.251874062968,44.4666666666667,130.25,22.25,72,39,65,4,21,86,22,20,922,0.5,12
2020-08-30,14,19,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,14,19,EX0157,OB,903,903.250903028619,59.9833333333333,113,16.2857142857143,75,25,69,6,17,100,20,16,691,1,21
2020-08-30,14,19,EX0158,OB,817,1021.25,48,104.631578947368,19.2631578947368,77,12,52,2,19,90,20,19,714,0.5,19
2020-08-30,14,19,EX0176,COAL,760,760.21116976938,59.9833333333333,347.5,19.875,86,13,74,3,19,97,19,21,1235,0.5,8
2020-08-30,14,19,EX0192,OB,645,668.586236682983,57.8833333333333,156.25,18.3125,75,36,83,10,22,99,21,25,660,1,15
2020-08-30,14,19,EX0200,COAL,950,950.263962211725,59.9833333333333,297,26.8888888888889,64,27,65,0,15,80,17,13,1231,0.5,10
2020-08-30,14,19,EX0201,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,14,19,EX0215,OB,989,1154.84917288355,51.3833333333333,96.0909090909091,19,71,27,80,6,22,104,22,23,586,1,23
2020-08-30,14,19,EX0216,OB,774,972.565445026178,47.75,124.588235294118,14.4117647058824,86,46,39,8,18,108,18,18,745,0.5,18
2020-08-30,15,20,EX0140,OB,860,860.238955265351,59.9833333333333,109.857142857143,27.3809523809524,65,34,75,3,21,82,21,21,837,0.5,20
2020-08-30,15,20,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,15,20,EX0157,OB,1075,1075.29869408169,59.9833333333333,114.583333333333,15.25,78,2,85,16,21,99,25,19,444,0.5,25
2020-08-30,15,20,EX0158,OB,946,946.262850791887,59.9833333333333,110.5,16,70,2,70,3,17,87,20,16,742,0.5,22
2020-08-30,15,20,EX0176,COAL,665,726.114649681529,54.95,330.142857142857,12.2857142857143,73,42,60,10,19,90,14,31,1259,0.5,7
2020-08-30,15,20,EX0192,OB,731,731.203111975549,59.9833333333333,154.6875,14.1875,77,13,99,16,23,100,22,25,618,1,17
2020-08-30,15,20,EX0200,COAL,855,855.237565990553,59.9833333333333,325.142857142857,12.2857142857143,60,67,11,8,15,86,16,13,1175,0.5,9
2020-08-30,15,20,EX0201,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,15,20,EX0215,OB,1204,1204.33453737149,59.9833333333333,91.7857142857143,21.1071428571429,71,0,73,3,24,99,26,23,372,0.5,28
2020-08-30,15,20,EX0216,OB,860,860.238955265351,59.9833333333333,114.761904761905,15.4761904761905,86,42,36,9,22,109,24,20,649,0.5,20
2020-08-30,16,21,EX0140,OB,817,873.79679144385,56.1,113,21.7222222222222,57,14,115,11,21,85,23,20,1004,0.5,19
2020-08-30,16,21,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,16,21,EX0157,OB,903,918.824194460147,58.9666666666667,108.238095238095,18.7142857142857,80,38,69,16,18,93,24,21,456,0.5,21
2020-08-30,16,21,EX0158,OB,860,860.238955265351,59.9833333333333,109.380952380952,18.952380952381,74,40,60,5,18,87,21,16,740,0.5,20
2020-08-30,16,21,EX0176,COAL,855,855.237565990553,59.9833333333333,346.625,23.25,119,33,61,16,26,94,29,27,1020,1,9
2020-08-30,16,21,EX0192,OB,688,688.191164212281,59.9833333333333,162.8125,21.9375,89,12,83,17,25,99,23,27,637,0.5,16
2020-08-30,16,21,EX0200,COAL,570,570.158377327035,59.9833333333333,301.375,25.625,56,62,15,2,23,89,25,15,1232,0.5,6
2020-08-30,16,21,EX0201,OB,0,0,4.41666666666667,171,17,0,0,14,0,14,0,12,18,686,0.5,0
2020-08-30,16,21,EX0215,OB,1075,1075.29869408169,59.9833333333333,95.2692307692308,21,80,8,64,4,21,99,22,20,395,1,25
2020-08-30,16,21,EX0216,OB,817,817.227007502084,59.9833333333333,128.421052631579,15.2631578947368,83,46,36,7,21,108,22,19,696,0.5,19
2020-08-30,17,22,EX0140,OB,817,820.876360591683,59.7166666666667,118.111111111111,24.8333333333333,71,20,57,5,21,82,22,21,988,0.5,19
2020-08-30,17,22,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,17,22,EX0157,OB,903,903.250903028619,59.9833333333333,115.818181818182,16.1818181818182,96,9,63,33,18,97,20,17,466,0.5,21
2020-08-30,17,22,EX0158,OB,1032,1032.28674631842,59.9833333333333,104.260869565217,22.5217391304348,85,18,44,12,18,86,21,15,733,0.5,24
2020-08-30,17,22,EX0176,COAL,855,855.237565990553,59.9833333333333,349.888888888889,23.8888888888889,71,0,146,2,21,96,20,22,1092,1,9
2020-08-30,17,22,EX0192,OB,645,686.373041678983,56.3833333333333,152.933333333333,21.3333333333333,99,45,75,40,21,100,21,23,667,0.5,15
2020-08-30,17,22,EX0200,COAL,665,665.184773548208,59.9833333333333,336.714285714286,15,67,171,61,5,13,87,18,12,1339,0.5,7
2020-08-30,17,22,EX0201,OB,602,602.167268685746,59.9833333333333,170.2,16.1333333333333,87,59,117,15,14,103,13,16,971,0.5,14
2020-08-30,17,22,EX0215,OB,1032,1032.28674631842,59.9833333333333,96.0384615384615,23.1538461538462,89,15,39,13,19,104,20,19,484,0.5,24
2020-08-30,17,22,EX0216,OB,731,731.203111975549,59.9833333333333,156.75,18.6875,69,15,60,8,19,107,23,16,791,0.5,17
2020-08-30,18,23,EX0140,OB,688,703.636363636364,58.6666666666667,115,36.0588235294118,90,41,80,35,19,86,21,20,1042,0.5,16
2020-08-30,18,23,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,18,23,EX0157,OB,731,875.157964748919,50.1166666666667,111.75,19.25,123,91,30,54,17,105,19,16,497,0.5,17
2020-08-30,18,23,EX0158,OB,860,901.04772991851,57.2666666666667,108.55,24.55,63,32,58,2,17,85,21,15,749,0.5,20
2020-08-30,18,23,EX0176,COAL,760,812.110418521817,56.15,325,20.375,78,2,50,10,22,95,23,22,1023,1,8
2020-08-30,18,23,EX0192,OB,602,647.892376681614,55.75,140.571428571429,21,104,59,86,44,21,99,20,24,700,0.5,14
2020-08-30,18,23,EX0200,COAL,760,798.133022170362,57.1333333333333,345.833333333333,14,40,158,9,12,13,86,12,12,1235,0.5,8
2020-08-30,18,23,EX0201,OB,129,2333.66834170854,3.31666666666667,158,10,85,0,2,12,18,103,21,16,536,0.5,3
2020-08-30,18,23,EX0215,OB,946,998.416886543536,56.85,102.368421052632,27.9473684210526,120,16,68,44,16,98,17,16,489,0.5,22
2020-08-30,18,23,EX0216,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,19,0,EX0140,OB,602,1116.53786707883,32.35,116.818181818182,34,75,5,86,7,23,87,23,25,955,0.5,14
2020-08-30,19,0,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,19,0,EX0157,OB,1032,1032.28674631842,59.9833333333333,113.75,16,71,18,73,10,18,100,21,16,461,1,24
2020-08-30,19,0,EX0158,OB,860,883.309557774608,58.4166666666667,117.631578947368,21.5263157894737,70,27,78,7,17,85,18,16,827,0.5,20
2020-08-30,19,0,EX0176,COAL,855,855.237565990553,59.9833333333333,278.777777777778,26.1111111111111,76,6,68,8,21,87,20,22,1020,1,9
2020-08-30,19,0,EX0192,OB,645,788.455008488964,49.0833333333333,140.285714285714,17.1428571428571,94,52,41,32,21,102,21,21,623,0.5,15
2020-08-30,19,0,EX0200,COAL,475,857.142857142857,33.25,327,33.4,68,16,74,14,20,87,29,16,1092,0.5,5
2020-08-30,19,0,EX0201,OB,516,520.627802690583,59.4666666666667,162.214285714286,22.9285714285714,82,48,44,10,16,102,17,16,866,0.5,12
2020-08-30,19,0,EX0215,OB,903,903.250903028619,59.9833333333333,114.333333333333,26,76,14,46,3,12,100,13,11,490,0.5,21
2020-08-30,19,0,EX0216,OB,688,755.582672361196,54.6333333333333,102.277777777778,13.8333333333333,82,59,36,33,23,104,27,20,711,0.5,16
2020-08-30,20,1,EX0140,OB,688,699.858717151738,58.9833333333333,129.722222222222,24.0555555555556,74,5,107,4,19,86,20,20,975,0.5,16
2020-08-30,20,1,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,20,1,EX0157,OB,645,915.976331360947,42.25,111.5625,19,64,17,61,2,18,96,20,17,471,1,15
2020-08-30,20,1,EX0158,OB,602,782.100324792494,46.1833333333333,109.538461538462,31.0769230769231,89,13,70,17,16,89,16,19,884,1,14
2020-08-30,20,1,EX0176,COAL,665,692.507954874168,57.6166666666667,268.777777777778,30.8888888888889,65,92,83,7,19,83,18,15,951,0.5,7
2020-08-30,20,1,EX0192,OB,602,671.79169249845,53.7666666666667,149.125,13.875,76,19,67,19,16,99,14,19,652,0.5,14
2020-08-30,20,1,EX0200,COAL,665,678.379144233494,58.8166666666667,370.428571428571,22.1428571428571,74,19,96,4,17,90,18,16,1298,0.5,7
2020-08-30,20,1,EX0201,OB,645,679.344645991808,56.9666666666667,176.285714285714,30.2857142857143,81,5,74,11,19,105,21,17,863,0.5,15
2020-08-30,20,1,EX0215,OB,731,950.036101083032,46.1666666666667,118.222222222222,23.6666666666667,79,20,51,5,12,102,12,14,541,0.5,17
2020-08-30,20,1,EX0216,OB,860,860.238955265351,59.9833333333333,100.789473684211,16.2631578947368,71,55,15,6,18,100,18,18,742,0.5,20
2020-08-30,21,2,EX0140,OB,860,860.238955265351,59.9833333333333,129.5,20.35,88,12,113,5,22,90,23,22,987,0.5,20
2020-08-30,21,2,EX0141,OB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,21,2,EX0157,OB,1075,1075.29869408169,59.9833333333333,116.875,16,65,6,64,3,20,97,25,16,440,1,25
